param,value,seed,utility,cost,budget,deadline,n_calls,budget_violated,deadline_violated
alpha,0.25,0,0.9864340054651508,12.626059353489719,143.2624220917369,19.273727243443677,10,0,0
alpha,0.25,1,0.984835874124407,31.74160807454757,145.53943796707992,19.986587020603373,17,0,0
alpha,0.25,2,1.0,108.01913252332224,125.59188646443184,19.20358235720888,83,0,0
alpha,0.25,3,0.9969244106182148,18.05397866921104,145.65151892870279,19.94009087912546,13,0,0
alpha,0.25,4,0.28048056517506925,9.413121556466997,160.54479268739698,19.926164936054636,6,0,0
alpha,0.25,5,0.21600752323024586,8.408321290700242,137.18782185617073,19.733787591833465,6,0,0
alpha,0.25,6,0.9871765559458878,34.163330242199734,141.197095719926,19.79014891667844,14,0,0
alpha,0.25,7,0.8170986455532401,33.302880533774925,127.41842482080672,19.88116495563439,17,0,0
alpha,0.25,8,0.9999858080731409,23.439005200410488,133.14264313272608,19.674346954351144,18,0,0
alpha,0.25,9,0.999468266719197,21.39731647287647,139.28697220106568,19.24820995246511,12,0,0
alpha,0.25,10,0.8053154981970887,39.12190637503138,143.13360202152205,19.950990370170977,17,0,0
alpha,0.25,11,0.9998302320288452,19.11110362934476,134.1431688664823,19.948608419732658,14,0,0
alpha,0.25,12,0.9939876241713014,11.14723154146755,117.64326918619939,19.920416563045038,12,0,0
alpha,0.25,13,0.3204158275005725,15.92755640404425,131.24249992581207,19.445058961685092,6,0,0
alpha,0.25,14,0.8410987965031356,37.417491603035444,120.86761212921745,19.620946051254432,20,0,0
alpha,0.25,15,0.9997230510281145,25.488197150879934,143.65591805291928,19.97420801361674,19,0,0
alpha,0.25,16,0.9662699876002554,41.22880188512012,145.18393388101356,18.75034332136473,15,0,0
alpha,0.25,17,0.8869064724284643,23.44519688765499,128.52704448141336,19.287854291263447,16,0,0
alpha,0.25,18,0.9996828013072785,14.646902383447934,134.29848383584306,19.606861047211794,15,0,0
alpha,0.25,19,0.8001114803581898,38.88924895665276,134.93415146437363,19.79911110326881,19,0,0
alpha,0.25,20,0.20095591337961305,6.449197688358597,120.1144940944684,19.876062334528747,6,0,0
alpha,0.25,21,0.6670391750808284,15.180722989136152,151.87297630073834,19.814060145469867,11,0,0
alpha,0.25,22,0.9933947378974411,25.38048777500121,128.11732429154398,19.978056184764913,16,0,0
alpha,0.25,23,0.9999870076466324,36.2451852262871,128.51476297853242,19.80131531531392,24,0,0
alpha,0.25,24,0.2485236503544681,15.730674172044832,138.14410055556587,19.82512886180095,6,0,0
alpha,0.25,25,0.9997900866453593,29.92364609010646,138.73740391284184,19.88307096359218,19,0,0
alpha,0.25,26,0.91428882137698,16.80372494185657,153.57561270622367,19.935379679122757,11,0,0
alpha,0.25,27,0.0734304316811254,9.521148144091324,141.94295460965094,19.522390348611566,6,0,0
alpha,0.25,28,0.3084523134851932,19.355354010415574,118.57156346641219,19.92691038943748,6,0,0
alpha,0.25,29,0.9999999999537438,72.83162473838033,145.7856656171605,19.653970491441857,40,0,0
alpha,0.25,30,0.9999999999999792,53.67675837594757,137.8497715315782,19.770477540533292,42,0,0
alpha,0.25,31,0.21186706883086026,6.591375088472264,124.96542964450079,19.90102636644269,6,0,0
alpha,0.25,32,0.9999999992302978,29.665120838977828,130.1499663868796,19.0885666368646,30,0,0
alpha,0.25,33,0.33088040033089816,8.31106936124403,151.45933954254113,18.582366421394966,6,0,0
alpha,0.25,34,0.9778382315911657,22.563271760393963,138.82765037095973,19.870907617946884,14,0,0
alpha,0.25,35,0.9999111564542178,14.951660577997169,137.53844333198973,19.49940255908552,14,0,0
alpha,0.25,36,0.9765500173521212,18.59910776673791,146.8759785647337,19.99390123839592,10,0,0
alpha,0.25,37,0.9296935690554253,26.850271954202693,143.36657256512186,19.87096377186258,16,0,0
alpha,0.25,38,0.9999999889828127,21.318044431960402,150.37584947938177,19.874346452270228,25,0,0
alpha,0.25,39,0.9619992156085252,18.634314920665922,131.55109887532356,19.794057767641863,16,0,0
alpha,0.5,0,0.9470854712686441,17.106634760333144,135.587728555416,19.386350155290117,12,0,0
alpha,0.5,1,0.1371190392119246,10.837799149690106,141.0992839769095,19.1291131570509,6,0,0
alpha,0.5,2,0.9977060797763813,98.96027975797446,154.48549577800807,19.505560828442906,19,0,0
alpha,0.5,3,0.9998879597650403,60.770991531203684,149.87939174018308,19.99888064132773,33,0,0
alpha,0.5,4,0.2460156606260484,6.653314708864118,135.44087767182404,19.966678512584366,6,0,0
alpha,0.5,5,0.3379810207226983,13.056194373820764,141.18155386379007,19.930721496004487,8,0,0
alpha,0.5,6,0.9369746272706594,35.751417576411555,146.59349621817864,19.874927220339337,14,0,0
alpha,0.5,7,0.9987692095726265,13.900865017572016,142.45233211200693,19.80869787998822,10,0,0
alpha,0.5,8,0.9739887105528345,34.851753296838126,140.701292794359,19.695577928377944,25,0,0
alpha,0.5,9,0.16289914088590007,7.447304610808837,133.83602065843004,19.921633965938035,6,0,0
alpha,0.5,10,0.6264953183245721,21.69331824958092,140.55311309308024,19.1647931047329,18,0,0
alpha,0.5,11,0.1818986420501414,25.98830608473882,145.56160201224426,19.74713349793571,6,0,0
alpha,0.5,12,0.30701053029096415,8.227168241200886,120.06018979034536,19.255796738841916,6,0,0
alpha,0.5,13,0.9641062139339294,56.94190306190747,128.13987751432362,19.875429585287165,33,0,0
alpha,0.5,14,0.9999999999716677,65.89541522629528,136.47760324099127,19.946952540697257,40,0,0
alpha,0.5,15,0.19724055723671907,9.769038531855752,132.3160368879642,19.768683449465676,6,0,0
alpha,0.5,16,0.21918731781385414,7.658234330280079,126.33955293711128,18.270224972542707,6,0,0
alpha,0.5,17,0.2001148005847443,5.91450327689112,135.35939606679815,19.715308313275134,6,0,0
alpha,0.5,18,0.9965798499615369,23.780930522276403,148.9162203348832,17.856126002589722,16,0,0
alpha,0.5,19,0.9408428543164101,24.89390832887244,138.41190507225673,19.987686232561668,14,0,0
alpha,0.5,20,0.2263092137416255,9.465159454196272,129.93946116054806,18.67380101451713,6,0,0
alpha,0.5,21,0.9960219781764755,11.151088274425367,142.51949527628202,19.799802434688043,10,0,0
alpha,0.5,22,0.09917708802115921,8.500478864415795,136.99904121473622,19.448026478082305,6,0,0
alpha,0.5,23,0.9967123172577322,16.59424893284685,140.01198064898017,19.565081449356995,11,0,0
alpha,0.5,24,0.999172443917968,30.64299437044056,136.06953802859178,19.88327376813641,15,0,0
alpha,0.5,25,0.2617103734414249,9.787277870275497,132.51877712843333,19.32137209564923,6,0,0
alpha,0.5,26,0.9357840938813007,27.11226034239079,143.865989011819,19.6842774350721,14,0,0
alpha,0.5,27,0.6479750614673134,50.87411887252429,116.44149518180701,19.972281009068116,23,0,0
alpha,0.5,28,0.2105214863020567,5.813968916802572,127.81161234967382,19.12688188083297,6,0,0
alpha,0.5,29,0.10878337464575205,9.605439876680503,131.62655069500076,19.67905519709435,6,0,0
alpha,0.5,30,0.9999990249936416,47.413081948522766,132.50665039327887,19.909974848797663,26,0,0
alpha,0.5,31,0.9981615112753548,41.66398286755014,144.44139107089129,19.89986670939803,20,0,0
alpha,0.5,32,0.999979444039369,80.71785053117812,139.9279953128894,19.482951653371195,25,0,0
alpha,0.5,33,0.9989877270627037,38.47874463097826,131.59236929424407,19.888983894721868,23,0,0
alpha,0.5,34,0.9999999999999833,109.93556949577757,128.66266130940005,19.7593926059396,51,0,0
alpha,0.5,35,0.833374174178926,32.75404921131894,138.30239304181754,19.63296773233412,18,0,0
alpha,0.5,36,0.9975516035229247,23.189626770987275,131.03896440283657,19.564229731451434,18,0,0
alpha,0.5,37,0.9999844915771912,18.51054387089052,125.63861415482504,19.640380871659012,19,0,0
alpha,0.5,38,0.30562837375484153,4.758436452533137,118.81515374213488,19.82727248657359,6,0,0
alpha,0.5,39,0.11129089254949098,7.928980852609232,139.09910522320365,19.972442933486306,6,0,0
alpha,1.0,0,0.04789380357994799,7.241324571978938,140.9182985635968,19.82399173488025,6,0,0
alpha,1.0,1,0.9960719306898922,31.5389808200208,134.82203931322033,19.881605258508102,20,0,0
alpha,1.0,2,0.33642127009668965,13.474799970395916,146.5287292621493,19.196379135144976,6,0,0
alpha,1.0,3,0.8789430894799732,32.83915601498563,142.5582639654288,19.648895472033708,17,0,0
alpha,1.0,4,0.17611720368257577,6.496441584557838,141.83989385131804,19.533990234402342,6,0,0
alpha,1.0,5,0.9999974234267212,41.02520678204838,110.16270513117794,19.893187736184412,25,0,0
alpha,1.0,6,0.10986030005739289,4.847516192448308,137.25799354077685,19.97070106742395,6,0,0
alpha,1.0,7,0.9475133686153072,26.156070424995434,127.79676903855612,19.951711948898513,16,0,0
alpha,1.0,8,0.9954036542141652,18.24572341960264,144.53229366620343,19.80500842245543,15,0,0
alpha,1.0,9,0.2799976162962229,7.383234539791495,144.57494715208253,19.83313420304053,6,0,0
alpha,1.0,10,0.9973923823797783,23.994207921339978,117.53121402907314,19.18877318435755,16,0,0
alpha,1.0,11,0.9987278320183998,18.481548871120285,125.20758802763112,19.58387674515016,13,0,0
alpha,1.0,12,0.19330086439352578,7.868725941966206,136.2891698394562,19.916622497681413,6,0,0
alpha,1.0,13,0.9853752861050418,15.242126989283205,138.4345554729156,18.467196867549028,12,0,0
alpha,1.0,14,0.9216381014409498,60.553724020073105,141.06742752605803,19.79988682070558,18,0,0
alpha,1.0,15,0.7989582367473052,26.278019455003573,130.88673775282825,19.638193615537254,14,0,0
alpha,1.0,16,0.07365658273164533,5.899650587352001,140.58631819962895,19.988017888141865,6,0,0
alpha,1.0,17,0.12783473195294304,18.797414719990616,142.43521606908857,19.5987256979371,6,0,0
